Year,Round,College,Branch,Category,CutoffRank
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,3BR,19595
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,GM,12255
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,GMK,12334
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,GMR,13902
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,SCG,37377
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,SCR,42928
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,STG,39630
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,STR,41358
2024,Extended,R. V. College of Engineering Bangalore,Civil,1G,58994
2024,Extended,R. V. College of Engineering Bangalore,Civil,2AG,36174
2024,Extended,R. V. College of Engineering Bangalore,Civil,2AR,53256
2024,Extended,R. V. College of Engineering Bangalore,Civil,2BG,86550
2024,Extended,R. V. College of Engineering Bangalore,Civil,3BG,17427
2024,Extended,R. V. College of Engineering Bangalore,Civil,3BK,49255
2024,Extended,R. V. College of Engineering Bangalore,Civil,GM,16279
2024,Extended,R. V. College of Engineering Bangalore,Civil,GMR,27460
2024,Extended,R. V. College of Engineering Bangalore,Civil,SCG,34913
2024,Extended,R. V. College of Engineering Bangalore,Civil,SCR,42558
2024,Extended,R. V. College of Engineering Bangalore,Civil,STG,61968
2024,Extended,R. V. College of Engineering Bangalore,Computers,1G,2410
2024,Extended,R. V. College of Engineering Bangalore,Computers,1R,4288
2024,Extended,R. V. College of Engineering Bangalore,Computers,2AG,1421
2024,Extended,R. V. College of Engineering Bangalore,Computers,2AK,3982
2024,Extended,R. V. College of Engineering Bangalore,Computers,2AR,1806
2024,Extended,R. V. College of Engineering Bangalore,Computers,2BG,1201
2024,Extended,R. V. College of Engineering Bangalore,Computers,3AG,1239
2024,Extended,R. V. College of Engineering Bangalore,Computers,3AR,1345
2024,Extended,R. V. College of Engineering Bangalore,Computers,3BG,1096
2024,Extended,R. V. College of Engineering Bangalore,Computers,3BR,1165
2024,Extended,R. V. College of Engineering Bangalore,Computers,GM,501
2024,Extended,R. V. College of Engineering Bangalore,Computers,GMK,2203
2024,Extended,R. V. College of Engineering Bangalore,Computers,GMR,1130
2024,Extended,R. V. College of Engineering Bangalore,Computers,SCG,5143
2024,Extended,R. V. College of Engineering Bangalore,Computers,SCK,29723
2024,Extended,R. V. College of Engineering Bangalore,Computers,SCR,18988
2024,Extended,R. V. College of Engineering Bangalore,Computers,STG,9438
2024,Extended,R. V. College of Engineering Bangalore,Computers,STK,13393
2024,Extended,R. V. College of Engineering Bangalore,Computers,STR,17200
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,1G,1652
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,2AG,3089
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,2BG,2156
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,2BK,25997
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,3AG,2001
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,3BG,1956
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,GM,1017
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,GMR,2098
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,SCG,10365
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,SCR,38445
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,STG,12910
2024,Extended,R. V. College of Engineering Bangalore,CS- Cyber,STR,31510
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,1G,2307
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,2AG,1996
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,2AR,5240
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,2BG,2077
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,3AG,1681
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,3BG,1389
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,GM,745
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,GMK,5012
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,GMR,2155
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,SCG,9135
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,SCR,14736
2024,Extended,R. V. College of Engineering Bangalore,Comp. Sc. Engg-,STG,10267
2024,Extended,R. V. College of Engineering Bangalore,Electronics,1G,3129
2024,Extended,R. V. College of Engineering Bangalore,Electronics,2AG,2877
2024,Extended,R. V. College of Engineering Bangalore,Electronics,2AK,5856
2024,Extended,R. V. College of Engineering Bangalore,Electronics,2AR,3860
2024,Extended,R. V. College of Engineering Bangalore,Electronics,2BG,3506
2024,Extended,R. V. College of Engineering Bangalore,Electronics,2BR,6095
2024,Extended,R. V. College of Engineering Bangalore,Electronics,3AG,1968
2024,Extended,R. V. College of Engineering Bangalore,Electronics,3AR,3793
2024,Extended,R. V. College of Engineering Bangalore,Electronics,3BG,2363
2024,Extended,R. V. College of Engineering Bangalore,Electronics,3BR,3185
2024,Extended,R. V. College of Engineering Bangalore,Electronics,GM,1354
2024,Extended,R. V. College of Engineering Bangalore,Electronics,GMK,4000
2024,Extended,R. V. College of Engineering Bangalore,Electronics,GMR,3158
2024,Extended,R. V. College of Engineering Bangalore,Electronics,SCG,15024
2024,Extended,R. V. College of Engineering Bangalore,Electronics,SCK,32078
2024,Extended,R. V. College of Engineering Bangalore,Electronics,SCR,21462
2024,Extended,R. V. College of Engineering Bangalore,Electronics,STG,28258
2024,Extended,R. V. College of Engineering Bangalore,Electronics,STK,56231
2024,Extended,R. V. College of Engineering Bangalore,Electronics,STR,62214
2024,Extended,R. V. College of Engineering Bangalore,Electrical,1G,7711
2024,Extended,R. V. College of Engineering Bangalore,Electrical,1R,14418
2024,Extended,R. V. College of Engineering Bangalore,Electrical,2AG,8993
2024,Extended,R. V. College of Engineering Bangalore,Electrical,2BG,8086
2024,Extended,R. V. College of Engineering Bangalore,Electrical,3AG,7154
2024,Extended,R. V. College of Engineering Bangalore,Electrical,3AR,22136
2024,Extended,R. V. College of Engineering Bangalore,Electrical,3BG,6248
2024,Extended,R. V. College of Engineering Bangalore,Electrical,GM,4202
2024,Extended,R. V. College of Engineering Bangalore,Electrical,GMK,14441
2024,Extended,R. V. College of Engineering Bangalore,Electrical,GMR,5851
2024,Extended,R. V. College of Engineering Bangalore,Electrical,SCG,25484
2024,Extended,R. V. College of Engineering Bangalore,Electrical,STG,23041
2024,Extended,R. V. College of Engineering Bangalore,Elec.,1G,5309
2024,Extended,R. V. College of Engineering Bangalore,Elec.,1R,18144
2024,Extended,R. V. College of Engineering Bangalore,Elec.,2AG,5769
2024,Extended,R. V. College of Engineering Bangalore,Elec.,2AR,21394
2024,Extended,R. V. College of Engineering Bangalore,Elec.,2BG,15359
2024,Extended,R. V. College of Engineering Bangalore,Elec.,3AG,3938
2024,Extended,R. V. College of Engineering Bangalore,Elec.,3AK,29054
2024,Extended,R. V. College of Engineering Bangalore,Elec.,3BG,4303
2024,Extended,R. V. College of Engineering Bangalore,Elec.,GM,2347
2024,Extended,R. V. College of Engineering Bangalore,Elec.,GMR,8330
2024,Extended,R. V. College of Engineering Bangalore,Elec.,SCG,30853
2024,Extended,R. V. College of Engineering Bangalore,Elec.,STG,64616
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,1G,3342
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,2AG,2492
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,2AK,5079
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,2AR,3284
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,2BG,2039
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,3AG,1808
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,3BG,1234
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,3BR,2042
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,GM,795
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,GMK,1688
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,GMR,1653
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,SCG,10354
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,SCK,18206
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,SCR,17001
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,STG,18937
2024,Extended,R. V. College of Engineering Bangalore,Info.Science,STR,25994
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,1G,8775
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,2AG,6380
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,2AR,9392
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,2BG,6919
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,3AG,8581
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,3BG,9105
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,GM,3824
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,GMK,18477
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,GMR,6852
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,SCG,35552
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,SCR,60164
2024,Extended,R. V. College of Engineering Bangalore,Aero Space,STG,17281
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,1G,5667
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,2AG,6953
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,2AR,10110
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,2BG,8933
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,3AG,6635
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,3BG,5357
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,GM,4390
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,GMR,8268
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,SCG,25646
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,SCR,35785
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,STG,13531
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,STK,41216
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,1G,6900
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,2AG,5497
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,2AR,6896
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,2BG,8232
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,3AG,5183
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,3BG,5034
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,GM,4243
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,GMK,9953
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,GMR,5641
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,SCG,32466
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,SCR,33179
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Artificial,STG,16813
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,1G,61515
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,2AG,59155
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,2AR,70392
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,2BG,55498
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,3AG,73502
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,3BG,65726
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,GM,39924
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,GMK,56629
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,GMR,64503
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,SCG,78109
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,SCR,87623
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Civil,STG,64928
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,1G,4889
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,2AG,5134
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,2AK,5810
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,2AR,7216
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,2BG,3512
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,2BR,5976
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,3AG,2217
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,3BG,3382
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,GM,2012
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,GMK,5210
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,GMR,3133
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,SCG,14378
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,SCK,26549
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,SCR,26769
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,STG,15288
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Computers,STR,21260
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,2AG,6099
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,2AR,12911
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,2BG,9753
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,3AG,4868
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,3BG,4955
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,GM,4776
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,GMK,7166
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,GMR,7586
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,SCG,28625
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,SCR,53084
2024,Extended,M S Ramaiah Institute of Technology Bangalore,CS- Cyber,STG,30912
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,1G,18765
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,2AG,7620
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,2AK,10112
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,2AR,8118
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,2BG,7203
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,3AG,7580
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,3AR,8848
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,3BG,6303
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,3BR,9461
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,GM,4880
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,GMK,5867
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,GMR,8103
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,SCG,29184
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,SCK,64211
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,SCR,32145
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,STG,30219
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electronics,STR,34278
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,1R,33259
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,2AG,28857
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,2BG,26474
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,2BR,94431
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,3AG,15002
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,3AK,29298
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,3BG,13802
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,GM,13087
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,GMR,20191
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,SCG,53189
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Electrical,STG,50952
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Elec.,1G,14611
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Elec.,1R,36229
2024,Extended,M S Ramaiah Institute of Technology Bangalore,Elec.,2AG,34201
